"","Baba.F","Baba.P","Shinmura.F","Shinmura.P","Hashimoto.F","Hashimoto.P","Kudo.F","Kudo.P","Koizumi.F","Koizumi.P","Takahara.F","Takahara.P","Uno.F","Uno.P","Gandou.F","Gandou.P","Kobayashi.F","Kobayashi.P","Myotoku.F","Myotoku.P","Ryouma.F","Ryouma.P","Anabuki.F","Anabuki.P","Momotaro.F","Momotaro.P","Fujita.F","Fujita.P","Rakunou.Oukoku.F","Rakunou.Oukoku.P"
"ASV30","0.221567004625734","n.s","0.221567004625748","n.s","0.207660595261841","n.s","0.20766059526184","n.s","0.20766059526184","n.s","0.00365584010345066","n.s","0.214408065545807","n.s","40.5472445716512","***","0.219765528821619","n.s","0.127925937248745","n.s","0.165651593097651","n.s","0.235591984867824","n.s","0.207660595261836","n.s","0.193871743157326","n.s","0.219765528821616","n.s"
"ASV37","0.164117466836342","n.s","0.164117466836344","n.s","0.153814757318567","n.s","0.153814757318567","n.s","0.153814757318567","n.s","0.184989058366619","n.s","0.16411692918864","n.s","0.153814757318565","n.s","0.164116929188639","n.s","0.164116929188638","n.s","29.1655059754822","***","0.0129868534829636","n.s","0.153814757318567","n.s","0.125250884827933","n.s","0.164116929188637","n.s"
"ASV80","0.452949060582524","n.s","0.990785963369048","n.s","0.899253209835983","n.s","0.532611100024985","n.s","0.306117119701938","n.s","1.06873543619785","n.s","3.97510232191609","*","0.109644355557102","n.s","13.1377419908276","***","0.221296102796617","n.s","0.749947615308566","n.s","0.948169671992125","n.s","0.615245830228764","n.s","0.106988151982146","n.s","0.540610095164402","n.s"
"ASV90","0.545791823145774","n.s","0.289191548973539","n.s","0.010772436798714","n.s","0.206389314915576","n.s","0.279636756255126","n.s","0.511792476779459","n.s","0.545792800894358","n.s","0.482881365878936","n.s","0.0114180606235617","n.s","0.184160540961314","n.s","0.47324791168892","n.s","30.9107266263859","***","0.273808999195023","n.s","0.114102855193376","n.s","0.44388244569932","n.s"
"ASV53","0.285980500034391","n.s","0.270525253076007","n.s","0.268035712502418","n.s","0.268035712502417","n.s","0.268035712502416","n.s","0.322336692330162","n.s","0.28597949007846","n.s","0.268035712502417","n.s","0.285979490078459","n.s","0.285979490078458","n.s","0.0911413499981688","n.s","58.2095247719126","***","0.268035712502415","n.s","0.198814479260768","n.s","0.285979490078454","n.s"
"ASV58","0.323773211219853","n.s","0.359108789405203","n.s","0.336580636380849","n.s","0.336580636380848","n.s","0.336580636380847","n.s","0.404749439546228","n.s","0.359106175450537","n.s","13.401918273727","***","0.359106175450536","n.s","0.359106175450534","n.s","0.362229576197429","n.s","0.283289442214283","n.s","0.336580636380847","n.s","21.3805285345167","***","0.359106175450529","n.s"
"ASV48","0.882767943243214","n.s","1.55274227313378","n.s","2.34895337301636","n.s","0.000444818500612683","n.s","11.6106059745489","***","8.99390644196962","**","1.56721696264273","n.s","1.3699412513684","n.s","0.871958150359395","n.s","7.99212188271093","**","1.36109998478937","n.s","1.42764209459072","n.s","0.132309410179097","n.s","1.36800639001905","n.s","1.48137071602143","n.s"
"ASV60","0.128615607083844","n.s","0.128615607083844","n.s","0.120540721044334","n.s","0.120540721044334","n.s","0.120540721044334","n.s","0.144973866427041","n.s","12.8833637153205","***","1.32559984483104","n.s","0.128615265629053","n.s","0.126221816148491","n.s","0.136759370071459","n.s","0.136759370071459","n.s","0.120540721044334","n.s","0.112504787071089","n.s","0.12861526562905","n.s"
"ASV35","0.23346958662334","n.s","0.247664677273673","n.s","0.236642218865238","n.s","0.236642218865237","n.s","4.576698939239","*","14.2493042357535","***","0.25248783387903","n.s","0.236642218865237","n.s","0.24288452204499","n.s","0.189184389632705","n.s","0.240054529324253","n.s","0.027571560927231","n.s","0.236642218865234","n.s","0.220930698527743","n.s","0.252487833879025","n.s"
"ASV101","0.257192745836312","n.s","0.257192745836319","n.s","0.0067826350097624","n.s","0.0693772306969994","n.s","0.0495851940009912","n.s","0.289904568300444","n.s","0.240175848094185","n.s","0.241064406710936","n.s","27.3737468481263","***","0.257203806735165","n.s","0.000328665292841894","n.s","0.273483344298359","n.s","0.172824528521084","n.s","0.224952080380236","n.s","0.249834488714509","n.s"
"ASV300","0.135933635135301","n.s","0.135933635135304","n.s","0.127399521221422","n.s","0.127399521221422","n.s","0.127399521221422","n.s","0.153222240333111","n.s","0.135933253682572","n.s","0.127399521221421","n.s","0.135933253682572","n.s","0.135933253682572","n.s","0.144540534733249","n.s","0.144540534733248","n.s","0.127399521221419","n.s","0.11890473719997","n.s","29.0215417784961","***"
"ASV133","0.00956083303911984","n.s","1.24916543218484","n.s","1.4227013062374","n.s","1.4227013062374","n.s","1.37749433164118","n.s","0.602868619471555","n.s","0.341358420556427","n.s","0.856906122541681","n.s","0.000315142942969517","n.s","1.19033573772744","n.s","39.2898090342587","***","1.21111043779212","n.s","1.27488812396764","n.s","0.26143588082392","n.s","6.47440746403386","*"
"ASV98","0.546267363610369","n.s","0.546267363610394","n.s","0.511799387196579","n.s","0.511799387196578","n.s","0.489677265357846","n.s","5.94234416765897","*","13.9192361357543","***","0.00111524967934983","n.s","0.149680909592038","n.s","0.372978683241959","n.s","0.580812215184194","n.s","0.580812215184195","n.s","0.511799387196574","n.s","0.477849209432279","n.s","0.54615069941898","n.s"
"ASV130","0.276213501130121","n.s","0.276213501130132","n.s","0.258880970861593","n.s","0.258880970861592","n.s","0.258880970861592","n.s","0.311327431389376","n.s","0.276211927802456","n.s","0.25888097086159","n.s","0.276211927802454","n.s","0.276211927802453","n.s","9.41184698538886","**","10.5410914758149","**","0.131314156488512","n.s","0.0913300309738887","n.s","0.27621192780245","n.s"
"ASV50","0.12789039625189","n.s","0.169870014027397","n.s","0.0932724490253093","n.s","1.1702037667626","n.s","13.0430168149216","***","0.19147279182602","n.s","0.169869438028597","n.s","0.159206389283108","n.s","0.169869438028599","n.s","0.1698694380286","n.s","0.180624546197492","n.s","0.180624546197492","n.s","0.159206389283104","n.s","0.148632904833314","n.s","0.169869438028597","n.s"
"ASV120","0.16402003802862","n.s","0.167622777184571","n.s","0.022795430771731","n.s","0.284374464773389","n.s","0.000399756806426758","n.s","0.426390882294357","n.s","0.397257878682881","n.s","0.363854965901713","n.s","0.351511039646831","n.s","0.397257878682878","n.s","0.303162130834009","n.s","6.06976007803052","*","7.4558938281072","**","0.17956093195636","n.s","0.397257878682874","n.s"
